Name,Description,Certification Date,Location,Sector,Website,Overall Score,Governance,Workers,Community,Environment,Customers
AIGUASOL,"Aiguasol offers energy and environmental consulting services aimed at creating interior and exterior spaces, exceptional processes, systems, comfortable, efficient, and with a positive environmental impact. Ofrecemos servicios de consultoría energética y ambiental orientados a la creación de espacios interiores y exteriores, procesos y sistemas excepcionales, confortables, eficientes, y con un impacto ambiental positivo.","January, 2020","Barcelona, Barcelona, Spain",Service with Minor Environmental Footprint,www.aiguasol.coop,100.9,13.7,32.2,14.7,37.1,3.0
Grupo Florex,FLOREX is a Costa Rican company that is dedicated to the production and marketing of cleaning products and services that are really friendly to the environment. FLOREX es una empresa costarricense que se dedica a la producción y comercialización de productos y servicios de limpieza realmente amigables con el ambiente.,"April, 2017","San Ramón, Alajuela, Costa Rica",Manufacturing,www.florexcr.com,89.6,16.0,22.7,21.7,25.4,3.6
Sensiba San Filippo LLP,"At Sensiba San Filippo (SSF), we believe in providing our clients with more than just a tax strategy or compliance report — we believe in helping people reach their goals and rest better knowing that they have someone on their side.","May, 2018","Pleasanton, California, United States",Service with Minor Environmental Footprint,ssfllp.com,80.9,12.7,27.2,30.3,9.8,0.7
Corporate Knights,"Corporate Knights, the company for clean capitalism, uses the latest data and analysis tools to empower markets to make the world a better place. Corporate Knights is comprised of three divisions, which rate, animate and agitate to drive this shift to a more symbiotic form of capitalism. 1. Corporate Knights Capital team provides quantitative sustainability services for investors and benchmarking services for corporates. The division also leads external research initiatives, including the Global 100 Most Sustainable Corporations in the World ranking released each year at the World Economic Forum and the Sustainable Stock Exchanges. 2. Corporate Knights Magazine publishes the world's largest circulation magazine focused on sustainable business. It is distributed quarterly in The Washington Post and Canada’s Globe and Mail, and to 30,000 of the world’s most influential business and political decision-makers. 3. Corporate Knights acts as a secretariat for The Council for Clean Capitalism, a council of companies working to catalyze policy changes so that sustainable activity in the economy is better rewarded and financed.","October, 2012","Toronto, Ontario, Canada",Service with Minor Environmental Footprint,www.corporateknights.com,81.9,15.9,26.4,14.5,4.5,20.6
BioCarbon Partners,BioCarbon Partners is one of the leading African-based forest carbon offset development companies whose vision is to conserve Africa's greatest remaining ecosystems through powerful community impacts.,"July, 2017","Lusaka, Lusaka, Zambia",Service with Minor Environmental Footprint,biocarbonpartners.com,177.3,15.9,30.3,94.7,36.4,
Green Mountain Power,Investor Owned Electric Generation and Distribution Utility,"October, 2014","Colchester, Vermont, United States",Manufacturing,www.greenmountainpower.com,86.2,16.9,32.1,12.0,25.2,
24Slides,"At 24Slides, they do custom presentation design for individuals and corporations all around the world. While their administrative office is in Copenhagen, Denmark, their design headquarters is in Malang, Indonesia. Their mission isn’t just about providing exceptional design services at affordable prices. It’s about showcasing the incredible talent and competitiveness of designers in emerging countries by giving them the tools to compete in the global market. Whether it’s their custom-built office with free lunches, a giant slide and sleeping pods, or their development courses covering language, entrepreneurship and much more, they’re committed to investing in the social and professional development of their designers in Indonesia. Because ultimately, their mission is to redefine the idea of outsourcing in the global market and create a brighter future for all talent in emerging countries.","September, 2018","Copenhagen, Copenhagen, Denmark",Service with Minor Environmental Footprint,24slides.com,82.1,13.7,33.3,23.2,11.8,
All Set Comunicação,"Their work encompasses graphics and identity, computer generated imagery and packaging, websites and digital experiences, advertising and communications.","July, 2018","São Paulo, São Paulo, Brazil",Service with Minor Environmental Footprint,www.allsetcomunicacao.com.br,86.4,15.5,27.0,33.7,10.1,
Jetty,"It started as five friends on a snowboard mission - Inspiration and enthusiasm plus $200 apiece, equaled the start of Jetty. It was created on a shared love of surf, art, travel, skate, and music. Jetty wanted to draw their own line – and it’s a good thing too, because coming from New Jersey, there was certainly no line to follow.","August, 2017","Manahawkin, New Jersey, United States",Wholesale/Retail,jettylife.com,82.9,6.6,,70.2,6.1,
Dunkiel Saunders Elliott Raubvogel & Hand,"Dunkiel Saunders was founded by lawyers with a commitment to improve the world around us, and that commitment remains at the core of our practice today. The attorneys that make up our team have extensive experience working in the public interest -focusing our practice on environment and energy, affordable housing, data privacy, consumer protection, and intellectual property among other practice areas. They rely on our diverse experience to help clients better understand the law and its practical application, stay on the leading edge of change in their industries, and succeed in their respective business or mission. In each matter they handle, their work is inspired by the good work of our clients, and they approach each case with a personal commitment to provide the highest-quality legal services available in our fields of practice.","November, 2019","Burlington, Vermont, United States",Service with Minor Environmental Footprint,dunkielsaunders.com,92.7,18.9,35.7,15.7,6.6,15.5
Natural Force Benefit Co.,"Natural Force's mission is to help people live happier, healthier lives through quality nutrition while minimizing impact on the planet. Values Use Simple, Quality Ingredients - They believe that Mother Nature did it best and they 3rd party test every batch! Provide Transparent Sourcing - Whenever possible, they list their ingredient sources right on the label. If it’s not on the label, it’s in their FAQs! Support Sustainable Practices - Natural, organic, and non-GMO are their “status quo”. Practice Environmental Stewardship. - There’s no “Planet B” so they are working hard to significantly reduce or eliminate plastic from product packaging. Deliver Quality Education - Natural Force separates “the signal” from “the noise” and empowers you with the knowledge you need to optimize your health. Enjoy the Ride - Life’s a journey, not a destination, so they think it’s important to have fun along the way. #beingnatty","May, 2018","Jacksonville, Florida, United States",Wholesale/Retail,naturalforce.com,80.6,16.2,21.1,16.6,26.6,
MIO,"MIO is a lifestyle and culture company that bridges the gap between business and sustainability through design. MIO designs, manufactures and retails innovative furnishings and accessories for life. MIO’s offerings include unconventional and highly innovative designs that transform residential and commercial interiors easily and on a budget. MIO’s products are sold online and through decoration and home improvement retailers worldwide. MIO’s products are made in the US out of environmentally preferable materials and processes. MIO’s design practice integrates environmental and social considerations at every stage, from material selection and sourcing, to logistics, use, maintenance and end of product life considerations. MIO’s design team provides strategic design consulting services for companies that seek to bridge the gap between business and sustainability through design. At the heart of MIO’s work is their philosophy of responsible desire. MIO’s guiding principle that consumption of responsibly made goods and services should be driven by desire and delight, rather than guilt or fear. MIO believes in Green Design For Everyone™ a vision of the future where sustainability and social responsibility are not just desirable attributes but logical marketplace realities.","December, 2014","Philadelphia, Pennsylvania, United States",Wholesale/Retail,www.mioculture.com,92.2,10.8,13.0,22.9,31.7,13.8
The Bama Companies Inc.,"Bama is an innovator of wholesome bakery and snack products that cater to the needs of the largest and most well-known restaurant chains on the planet. Their companies mission statement of ""People Helping People be Successful,"" isn't just words, it serves as a foundation for Bama's culture of caring and accountability. To acknowledge Bama's commitment to the highest standards of social, environmental and community performance, Bama has recently been awarded B Corp Certification. With this Certification, Bama has solidified itself by being a company that cares for its people, suppliers, customers, community and environment.","September, 2017","Tulsa, Oklahoma, United States",Manufacturing,www.bama.com,82.4,14.1,23.3,24.0,20.9,
"aWhere, Inc.","aWhere is closing the information gap in agriculture and global development through agricultural intelligence that provides innovative, timely, and locally relevant solutions. aWhere offers an on-demand, software-as-a-service (SaaS) data management and analytics tool, providing scalable, localized agronomic data for actionable insight. Our platform allows global development and agricultural professionals to make evidence-based decisions across the value chain, from the field-level to corporate and policy-level decisions. By becoming a B Corp, aWhere wants to instill confidence in their customers and community that their company seeks to be a real and positive force for good. Since the inception of aWhere, they have aimed to create a culture of excellence and integrity that is reflected in the quality and value of the products they offer to their customers.","October, 2014","Broomfield, Colorado, United States",Service with Minor Environmental Footprint,www.awhere.com/en-us,99.2,11.2,19.3,4.4,17.1,47.2
Imfusio,"Created in 2005, Imfusio currently employs 15 people. Their mission: help organizations of all types transform their management, their governance and their business model to generate a positive impact. Imfusio bases its approach of transformation on 3 pillars : * Strategic & systemic guidance * Employees mobilization and engagement * Impacts measurement and valuation Their culture: co-build with meaningfulness and kindness. As pioneering transformation experts, they work with their clients to transform their organization step by step and sustainably. They help develop and reinforce co-responsibility and autonomy within the organization itself. Their approach: Transform organisations from the inside. Guided by the values of trust and pleasure, their support is adapted to the complexity of the organizations and its stakeholders. More than just offers or methods, they propose an organic approach, involving all levels of the hierarchy. Their purpose: revealing the heartbeat of organizations ! Imfusio is part of a committed ecosystem, activists, experts, pioneers… who all serve the same purpose : having a positive impact on society.","May, 2019","Paris, île de France, France",Service with Minor Environmental Footprint,www.imfusio.com,111.9,17.4,33.6,26.1,6.4,28.3
Imperative,"Imperative teaches people, design programs, and build tools to create and measure social change in organizations, businesses, and communities.","April, 2013","Seattle, Washington, United States",Service with Minor Environmental Footprint,imperative.com,82.0,16.8,27.9,11.3,8.5,17.2
Miei Group Pty Ltd,"Miei Fiori harnesses the money spent on flowers and gifts to combat poverty by donating 100% profit to Charity, committing to zero wastage and offering financial transparency to customers. To be a part of a community that are movers, shakers, change makers and leading the way with Corporate Social and Environmental Responsibility.","January, 2018","Docklands, Victoria, Australia",Wholesale/Retail,miei.com.au,128.5,9.0,,110.0,9.5,
MagicLinks,"MagicLinks is the global leader in social commerce for YouTube, Instagram, and TikTok video influencers and the world’s leading brands. Their technology enables creators to share the products they love with their fans and serves leading brands seeking scalable, data-backed influencer campaign solutions, with dependable ROI and 100% sales data reporting. They are digital video natives, driven by data, passionate about the influencer community, and committed to excellence.","December, 2020","Venice, California, United States",Service with Minor Environmental Footprint,www.magiclinks.com,84.5,9.4,34.9,24.3,11.0,4.7
"Optimize Enterprises, PBC","en*theos helps people optimize their lives, actualize their potential and give their greatest gifts in greatest service to the world. At en*theos, there is a love of helping people optimize their lives so they can change the world together. They do that through PhilosophersNotes (mini-CliffsNotes™ of personal growth that inspire and empower people to live their deepest truths), Optimal Living 101. en*theos also believes in studying, embodying and teaching the fundamentals of optimal living ourselves —integrating ancient wisdom + modern science + common sense + virtue + mastery + fun in our daily lives.","November, 2015","Walnut, California, United States",Service with Minor Environmental Footprint,www.optimize.me,80.9,17.1,23.9,19.8,12.6,7.5
Le Rêve du Dogon,"Le Rêve du Dogon advises and accompanies its customers in their choice of communication strategy by the object. It is a committed and activist company conscious and concerned about environmental, social and economic issues. Le Rêve du Dogon conseille et accompagne ses clients dans leur choix de stratégie en communication par l’objet. C’est une entreprise engagée et militante consciente et soucieuse des enjeux environnementaux, sociaux et économiques.","November, 2015","Paris, Ile-de-France, France",Wholesale/Retail,www.revedudogon.com,82.1,13.1,22.6,27.6,18.7,
cmv Consulting,Provide organizations with strategic communications advice so they can tell the world about their sustainability achievements and reap all the benefits that come from being awesomely sustainable.,"June, 2017","Toronto, Ontario, Canada",Service with Minor Environmental Footprint,c-mv.ca,87.8,7.0,,37.5,9.8,33.5
LilyBee Wrap,"LilyBee Wrap believes in the good in people. They believe in the collective consciousness and how each choice they make as individuals affects everyone as a whole. They also believe in beauty and practicality. LilyBee Wraps works hard to combine these things, and seeks to create the opportunity for positive change to occur for people and planet. They make it easy and fun for people to show up and switch from single use plastic items to natural, reusable options. They strive to grow their business with the same kindness, honesty and integrity that goes into every single product they make. The steps they inspire their community to take do not have to be huge. They do not have to be all at once. It's just about taking that one step and then the next to see where the journey leads you. To use LilyBee Wrap, simply use the warmth of your hands to activate the watertight seal, and wrap bowls, sandwiches and much more, keeping food fresh in the fridge and on the go. Handcrafted in Hawke's Bay New Zealand with 100% New Zealand beeswax.","July, 2020","Napier, Hawke's Bay, New Zealand",Manufacturing,www.lilybeewrap.com,82.6,7.0,14.1,20.3,38.7,2.2
Nissan Tsushin Co. Ltd.,"Founded in 2009, the company's core business is telecommunication related work. Its headquarters is located in Tokyo and the company has several branches in Japan.","January, 2018","Koto-ku, Tokyo, Japan",Service with Minor Environmental Footprint,www.nissan-tsushin.co.jp,88.3,12.3,24.1,42.7,9.2,
"C.F. Martin & Co., Inc.","When Christian Frederick Martin came to the US from Germany in 1833, he was seeking freedom to do what he did best; build the highest quality guitars. That pioneering spirit and intense focus helped C.F. Martin & Co. thrive for over 185 years and still permeates every aspect of the business today. Family owned and operated for six generations, the company is responsible for legendary innovations, such as ""X-bracing,"" the 14-fret guitar and the ""Dreadnought"" size guitar, all of which have been copied by virtually every acoustic guitar manufacturer in the world. The company’s innovative approaches extend to the company’s guitar and specialty string products, its research and development and manufacturing operations, combining the best of craftsmanship with advanced technologies. Under the leadership of C.F. Martin IV, the company has led the charge to develop alternative materials and sustainable woods for their products and has spent millions of dollars to reduce their carbon footprint. In 1996, the Martin Guitar Charitable Foundation was created to help support non-profit organizations that focus on environmental protection, music education, its local communities and disaster relief.","September, 2018","Nazareth, Pennsylvania, United States",Manufacturing,www.martinguitar.com,81.9,9.4,22.1,17.9,18.8,13.5
SPHERA,"Somos una empresa certificada B-Corp que motiva el balance social, económico y ambiental a través del desarrollo de proyectos de alto desempeño que promueven el uso racional de los recursos y el bienestar de sus ocupantes. Contamos con un equipo interdisciplinario que brinda asesoría profesional en todas las fases del proyecto, incluyendo las etapas de diseño, construcción, operación y mantenimiento. They are a B-Corp certified company that motivates the social, economic and environmental balance through the development of high performance projects that promote the rational use of resources and the well-being of its occupants. They have an interdisciplinary team that provides professional advice in all phases of the project, including the design, construction, operation and maintenance stages.","October, 2020","San José, San José, Costa Rica",Service with Minor Environmental Footprint,www.spherasostenible.com,98.2,11.5,29.2,25.7,25.8,5.7
Shamaym,"Shamaym specializes in implementing a debriefing-based learning model and adapting it to various companies and organizations in order to establish a culture of openness, sincerity and personal accountability. In recent years, they have developed a model for establishing a ""smart, learning and improving organization"" based on their experience from the Israeli Air Force and on their experience in training and implementation with hundreds of organizations.","June, 2018","Tel Aviv, Tel Aviv, Israel",Service with Minor Environmental Footprint,shamaym.co.il,81.0,14.1,25.4,25.7,2.9,12.9
Mayne Wetherell,"Founded in 2004, Mayne Wetherell acts on transformative finance and corporate transactions where creativity, collaboration and an in-depth understanding of their clients’ strategic and capital requirements is key. Their clients are deal makers who want practical, commercially minded solutions. Their purpose is to create opportunities for all stakeholders. Their vision is to realise those opportunities, through removing barriers to equality, diversity and flexibility, and commitment to our core values of excellence, integrity, acceptance and sustainability. Everyone at Mayne Wetherell has a voice and is involved in shaping the culture and direction of the firm.","February, 2020","Auckland, Auckland, New Zealand",Service with Minor Environmental Footprint,maynewetherell.com,81.3,8.3,37.2,21.5,9.9,4.2
SINGULARES,"SINGULARES strategically develops organizations and people, so that the best of them emerge, broaden their gaze, return or find their essence and thus be more strategic, balanced and happy. They work for being a vanguard boutique company in personal and executive development, recognized by their methodologies, technologies, contribution in productivity, happiness and work development.","November, 2017","Puerto Varas, Llanquihue, Chile",Service with Minor Environmental Footprint,www.singulares.com,86.3,12.9,34.1,26.7,7.3,5.3
brew advisors,"Brew Advisors believes 95% of the world’s organizations are founded on an inspired idea. Whether you know it or not, whether you’re about the bottom line or don’t make a dime. Somewhere in your core is an idea that’s bigger than you are. That bigger idea has a life of its own. It has many supporters, inside and outside of your four walls. It creates a world of everyone, not us and them. When you let that inspired idea run the show, you bring that crowd along with you. Together, you achieve connection, authenticity and progress, with a sustainability and persistence unthinkable in old-school brand strategies.","April, 2019","Portland, Oregon, United States",Service with Minor Environmental Footprint,brewadvisors.com,84.4,10.8,18.8,28.4,3.8,22.4
Welly Health PBC,"Welly is a consumer products company working to bring simplicity and delight to the world of healthcare. Welly is for everyone that was afraid to fall down, fail, get bumped, get scratched and did it anyway.","October, 2020","minneapolis, Minnesota, United States",Wholesale/Retail,getwelly.com,86.3,16.0,23.1,20.1,13.4,13.5
Zinc Network Limited,"Zinc Network helps clients deliver meaningful, measurable change around some of the most complex social issues facing the world today.","October, 2020","Lambeth, London, United Kingdom",Service with Minor Environmental Footprint,www.zincnetwork.com,81.4,15.7,26.2,17.2,5.3,16.7
"Facilities Management Services, Inc.","Established in 1992 as JANCON in Shelbyville, Kentucky, Facilities Management Services, Inc. (FMS) received its name from Jerry Koloms who purchased the company in 1999. Seen as the ""founding father"" of FMS, Jerry hired the key people and established many client relationships that are the backbone of FMS' success today. In May of 2001, Jerry passed away and his son Scott Koloms was named President. Thanks in part to his teaching background, FMS placed an emphasis on the training and education of every company employee. Furthermore, every FMS team member made a commitment to maintain long-term relationships with clients through honest, open communication and hard work. Since 2001, FMS has grown every year. The company currently employs hundreds of team members in multiple states and cities. Services have grown to include the latest technologies in floor care and carpet care as well as general commercial cleaning. While FMS has added team members and clients, they haven't changed the way they do business. They know that their services really come down to one thing: Good People. Clean Buildings.","November, 2016","Louisville, Kentucky, United States",Service with Minor Environmental Footprint,www.facilitiesmgmt.com,106.6,22.1,29.4,43.3,9.3,2.4
THE SKATEROOM,"THE SKATEROOM exists to bring art into people's lives while bringing brighter possibilities to the lives of all. They unite art buyers, artists, galleries, museums, foundations, retailers, and non-profits around the world in a new economic model — « Art for Social Impact ». Our “5:25” business model is simple: they unleash human creativity and the fruits of artistic labor to donate 5% of the turnover or 25% of the profit from every sale – whichever number is greater – to social skate projects around the world. By placing works of art on responsibly made skateboards, THE SKATEROOM connects people to the reality that Art for Social Impact is something achievable right now.","July, 2019","Brussels, Brussels, Belgium",Wholesale/Retail,www.theskateroom.com,97.4,9.8,17.1,45.7,23.4,1.3
Proyecto Agua Segura,Agua Segura Project is a social enterprise that brings concrete solutions to the water crisis.,"November, 2017","Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina",Service with Significant Environmental Footprint,www.aguasegura.com.ar,108.9,8.2,14.5,16.8,11.7,57.7
Feronia Forests LLC,"Feronia Forests is unique among timberland management organizations insofar as it implements a Sustainable Full Forestry™ strategy, i.e. it creatively monetizes the numerous assets that can be derived from the forest’s ecosystems while strategically postponing the harvesting of its trees & maximizing their economic value. Feronia extracts sap from maple trees for the production of maple water (Vertical Water) and maple syrup (Mission:Maple); and hosts on its properties renewable energy facilities. Eventually, Feronia will generate revenues from conservation easements and carbon sequestration, since our forests are located in highly environmentally-sensitive areas. Ramblewild is Feronia’s main vehicle to monetize the recreational potential of our forests: visitors meander from tree to tree at various heights through a pristine hemlock forest. The trails are designed to have a profound impact on visitors’ self-confidence and happiness. Aerial parks are a new outdoor activity in and amongst the trees that offer excitement, challenge, and personal growth for adventurists and for the entire family.","June, 2012","Pittsfield, Massachusetts, United States",Agriculture/Growers,www.feroniaforests.com,110.2,15.1,12.0,24.5,48.6,1.4
"Transcend, The Fearless Company","Transcend creates fearless leaders who lead teams that win over time, by developing greater leadership, strategic thinking and high performing teamwork.","September, 2016","Huntsville, Alabama, United States",Service with Minor Environmental Footprint,www.leadfearlessly.com,83.1,10.4,18.7,31.0,4.1,18.6
Beyond Governance Limited,"Beyond Governance is an award-winning corporate governance consultancy. Every organisation has governance, but it is rarely optimised. Governance is the system of rules, procedures and processes that an organisation uses to direct and control its actions. It is the hallmark of a well-run company. Their team use its in-house governance expertise from large listed businesses to create size appropriate pragmatic structures that uplift an organisation’s culture and positively affect the output and productivity of every person within it. They are sector agnostic and work with companies from SME to FTSE 100.","November, 2020","London, London, United Kingdom",Service with Minor Environmental Footprint,www.beyondgovernance.com,90.0,23.0,30.0,25.6,6.9,4.3
The Good Pencil Company,"The Good Pencil Company started with the simple mission of providing “Pencils with Purpose” to those in need of writing tools to enhance their education. For each pencil purchased, we donate one to a school in need. However, our mission does not stop there. Since our conception as an Utah Public Benefit Corporation, The Good Pencil Company prioritizes giving back to the community and the environment through various efforts. As a proud climate neutral company, we exemplify their commitment to the environment by working with organizations such as the Eden Reforestation Project and 1% for the Planet. To further this mission our products are ethically made out of eco-friendly materials. Through our efforts we also aim to educate consumers on the importance of giving back to those in need and protect the world around us. In addition to our emphasis on supporting education and the environment, certain packs of our pencils help support various causes, including equality, ocean cleanup, support for girls, food banks, fighting sexual assault, safe sanitation, STEM, and more. With giving back as an essential part of our business model we believe that our quality products can simultaneously benefit customers, the community, and the Earth. These really are pencils with purpose.","May, 2019","Sandy, Utah, United States",Wholesale/Retail,www.thegoodpencilcompany.com,104.8,15.0,,65.8,23.1,0.8
Haint Blue Brewing Company,"Haint Blue Brewing Company are a for-profit company that believes their greatest asset is the world they live in. Haint Blue will always support local people & businesses, create a platform for artists, embrace innovators, reduce its carbon footprint, & pursue altruistic goals of helping children, families, & refugees who may be unable to help themselves. Oh yeah…they also plan to make the highest quality beer on Earth.","May, 2019","Mobile, Alabama, United States",Manufacturing,haintbluebrew.com,97.7,12.2,26.3,40.8,18.2,
BR-ND People,"BR-ND People is a strategic consultancy helping organizations to accelerate in the economy of the 21st century by making their brands more human and purposeful. We make brands contribute to the wellbeing of people. Happy, engaged people make positive cultures and attractive brands. We believe such brands can help solve the challenges of the 21st century.","January, 2018","Amsterdam, Noord Holland, Netherlands",Service with Minor Environmental Footprint,www.br-ndpeople.com,86.4,16.3,,52.4,8.3,9.4
Flora & Fauna,"Flora & Fauna is a platform for purpose. We use our reach, engagement and ultimately profit to help our people, planet and animals. Our purpose is to help everyone make better choices. We are a vegan eco retailer with over 8000 products, all cruelty free and vegan. We focus close the loop om waste with over 2000 products being plastic free and we have a recycling scheme whereby all products can be returned to use for recycling. Our team is proudly diverse and we support the local community and charities. We are 100% carbon offset.","November, 2017","Galston, New South Wales, Australia",Wholesale/Retail,www.floraandfauna.com.au,87.0,8.7,22.0,25.5,29.9,0.9
Reserva,"Reserva is a Brazilian men's fashion brand that was born in 2006 to transform the way of dressing and be an example of how fashion can transform society, valuing human aspirations and capabilities based on 3 pillars: technology, functionality and sustainability. Currently, there are 83 stores in the main capitals of Brazil, in addition to a chain with more than 1,500 multi-brand stores across the country and almost 2,000 employees. A Reserva é uma marca brasileira de moda masculina que nasceu em 2006 pra transformar a forma de se vestir e ser um exemplo de como a moda pode transformar a sociedade, valorizando aspirações e capacidades humanas com base em 3 pilares: tecnologia, funcionalidade e sustentabilidade. Atualmente, são 83 lojas nas principais capitais do Brasil, além de uma rede com mais de 1,5 mil multimarcas pelo país e quase 2 mil funcionários.","January, 2020","Rio de Janeiro, RJ, Brazil",Wholesale/Retail,www.usereserva.com,80.6,15.4,25.9,22.3,14.0,2.9
Kregel & Company CPA,"As “atypical accountants,” Kregel & Company CPA focuses on solving accounting and tax challenges while providing a stellar experience for their customers. While their business is finance, their purpose is deeper: to improve business owners’ lives by providing opportunity, peace of mind, and inspiration. Kregel & Company is driven by the desire to give back to their community, their customers, and organizations doing good locally and around the world. In addition to leveraging technology for a more efficient, eco-friendly customer experience and providing generous compensation packages for employees (including flexible work arrangements and the opportunity for paid sabbaticals), the team extends their impact beyond the people they interact with every day. Over the years, Kregel employees have invested in Kiva microloans, helped people suffering from poverty through GiveDirectly, and gotten involved with Girls on the Run to empower young girls. Most recently, they established Kregel Gives to focus their efforts on organizations that are making a tangible, measurable difference in the world.","March, 2013","Souderton, Pennsylvania, United States",Service with Minor Environmental Footprint,kregel-cpa.com,87.7,13.6,25.7,34.5,5.3,8.4
Aslan Brewing Company,"Aslan Brewing Company is a sustainable microbrewery and restaurant in Downtown Bellingham, exclusively brewing 100% USDA Certified Organic beer for the Pacific Northwest. Aslan serves up local and seasonal world street cuisine every day in their all-ages brewpub, with plenty of gluten-free, vegetarian, and vegan options. Enjoy over 12 unique organic beers on tap at any day of the year, not to mention local wine, cider, and house-made soda pop, so there is surely something for everyone. Aslan also brews organic beer for restaurants, bars, grocery stores, and bottle shops. In addition to a variety of organic beer on draft, Aslan packages beer in cans and growlers for your convenience. Community outreach is of one Aslan's key pillars. By staying connected with local non-profits and community organizations, Aslan is able to bolster its contribution to social and environmental well-being. The brewpub offers itself as a community hub and frequently hosts fundraisers and events for local campaigns and organizations in need, making it more than just a beer-centric eatery.","January, 2016","Bellingham, Washington, United States",Manufacturing,www.aslanbrewing.com,112.8,11.2,15.8,38.9,46.8,
"Aunt Bertha, A Public Benefit Corporation","Their Mission is to connect all people in need and the programs that can help them (with dignity and ease). Aunt Bertha collects all federal, state, county, city, neighborhood, and charity program information and put it in one place and make it easy for people to find and connect with those programs. Ultimately, this leads to people in need getting help.","August, 2011","Austin, Texas, United States",Service with Minor Environmental Footprint,company.auntbertha.com,124.6,14.8,28.7,21.0,5.6,54.2
Hog Island Oyster Co. Inc,"In 1983, two young marine biologists borrowed $500 from their families and planted oyster seed on a five-acre lease in Tomales Bay, CA. They began with the aim of growing the highest quality, local Pacific oysters for San Francisco’s half-shell market. This hands-on commitment to quality remains a core value of the business today. With a mission to grow, shuck and serve an exceptional oyster experience – and have fun doing it – Hog Island Oyster Co. has built namesake restaurants in San Francisco and Napa and an outdoor oyster bar, picnic tables, and retail shop at their farm in Marshall, on Tomales Bay. Known for an unusually large number of long-term employees -- aka the Hog Island Family -- the company has created a culture of people who care about their communities, their environments and the customers they serve. They call this their ‘Bay to Bar’ philosophy –every step, and every person, plays an equally important role in setting and meeting the company’s high standards for great food and great service. Hog Island Oyster Co. currently leases one hundred and sixty acres in Tomales Bay, CA and sells over 5 million oysters, Manila clams and mussels per year.","December, 2015","Marshall, California, United States",Wholesale/Retail,www.hogislandoysters.com,86.3,16.0,22.9,22.2,25.0,
Vaya Finserv Private Limited,"Vaya provides working capital loans for small and micro enterprises. Established by a team of seasoned microfinance professionals, Vaya uses the latest technology to deliver timely and relevant financial services to underserved rural geographies in India. Vaya was the first company to use tablet banking in rural India. Since then, Vaya has added other state-of-the-art technology, from QR readers to iris-scan biometric authentication, and Data Analytics to Business Intelligence. Vaya has a heightened focus on the seven principles of customer protection: fair and respectful treatment, transparency, designing suitable products, preventing over-indebtedness, privacy, and having a mechanism for complaint resolution. Since Vaya customers are not familiar with conventional banking, Vaya trains them. Vaya uses simple and relatable methods to explain loan terms, interest rates, joint liability and other features. Such training not only imparts awareness but also serves to bolster trust and strengthen the credit culture. Vaya's field staff invest significant time in developing good relationships with customers. There are extensive checks and balances in place to ensure fair and respectful treatment of customers. Field staff undergo thorough and ongoing training and evaluation.","July, 2018","Hyderabad, Telangana, India",Service with Minor Environmental Footprint,www.vayaindia.com,120.6,14.1,22.7,25.9,6.0,51.7
Productos Naturales Aral Thel S.A.,Aral Thel SA is a company that contributes to the welfare of society by developing herbal medicines. They are also committed to protecting the environment.,"September, 2014","Calarcá, Quindio, Colombia",Manufacturing,www.aralthel.com,81.1,13.3,26.0,17.7,14.0,9.8
Traditional Medicinals,"In 1974, community activist Drake Sadler and fourth-generation herbalist Rosemary Gladstar launched Traditional Medicinals, a medicinal herbal tea company. With the goal of reviving herbalism in North America, they traveled to the source of medicinal plants—often in remote, rural areas. On their travels, they were shocked to discover the poor social, living and working conditions of the mostly indigenous and impoverished herb farmers and wild collectors. Following the principles of right livelihood, the company pioneered a new ethical sourcing model by promoting organic agriculture, developing long-term equitable and fair trading relationships, and investing in these sourcing communities. Over four decades later, their teas are still formulated by herbalists, sourced responsibly and tested for quality by plant scientists. Their purposeful mission continues through your conscious choice to support Traditional Medicinals. Hoping to empower consumers to take responsibility for their own health, Traditional Medicinals believes in creating the highest quality products by considering every step of the process from their farms to your pantry, from sustainability and responsible sourcing, to social business practices. Plant Power for a Better You® isn’t just a tagline—it’s our mission.","August, 2010","Sebastopol, California, United States",Manufacturing,traditionalmedicinals.com,125.7,17.9,21.6,41.1,36.3,8.7
Ngātahi Communications,Ngātahi Communications believes in using the power of kōrero and storytelling to drive positive change. Their team specializes in working with purpose-driven brands to start important conversations and influence action. They have a strong history of using strategic communications and public relations to inspire change in New Zealand.,"September, 2019","Christchurch, Canterbury, New Zealand",Service with Minor Environmental Footprint,ngatahi.co.nz,83.8,10.6,,49.4,2.8,20.8
